"quan_huyen","gia_avg","gia_min","gia_max","pk_i_id"
"Huyện Bình Chánh","3710000","400000","16000000","13115"
"Huyện Cần Giờ","820000","170000","1840000","13120"
"Huyện Củ Chi","750000","230000","3600000","13116"
"Huyện Hóc Môn","1640000","390000","6750000","13117"
"Huyện Nhà Bè","3420000","1110000","8000000","13118"
"Quận 1","118660000","59330000","39550000","13096"
"Quận 10","27080000","15000000","48400000","13105"
"Quận 11","19440000","8640000","39600000","13106"
"Quận 12","3500000","1700000","8750000","13107"
"Quận 2","7250000","3700000","22000000","13097"
"Quận 3","45160000","26400000","79200000","13098"
"Quận 4","19090000","8700000","34500000","13099"
"Quận 5","31370000","17000000","66000000","13100"
"Quận 6","15320000","6100000","43600000","13101"
"Quận 7","10710000","2600000","24200000","13102"
"Quận 8","9420000","2800000","25800000","13103"
"Quận 9","3160000","1500000","13500000","13104"
"Quận Bình Tân","4540000","2300000","14000000","13108"
"Quận Bình Thạnh","19950000","8400000","38000000","13109"
"Quận Gò Vấp","11030000","5200000","20000000","13110"
"Quận Phú Nhuận","21590000","12600000","48000000","13111"
"Quận Tân Bình","14630000","5900000","39600000","13112"
"Quận Tân Phú","8480000","4800000","16800000","13113"
"Quận Thủ Đức","4690000","2100000","19500000","13114"
"TP Thủ Đức","4690000","2100000","19500000","13119"
