median,mean,time_1
54148528,14833333,7/1/2017
50818229,16967229,8/1/2017
47082794,16967229,9/1/2017
44612442,24119150,10/1/2017
42536208,22118113,11/1/2017
41031856,30577272,12/1/2017
40004950,33067817,1/1/2018
39936602,30270657,2/1/2018
39707610,28425750,3/1/2018
40054826,25927512,4/1/2018
40786012,32824970,5/1/2018
40877191,35606118,6/1/2018
41754101,34958045,7/1/2018
43422834,37019171,8/1/2018
43907264,36993649,9/1/2018
44812976,34046827,10/1/2018
45359360,37293773,11/1/2018
46125065,36907391,12/1/2018
46531349,37668099,1/1/2019
47597343,40779705,2/1/2019
48748866,40535106,3/1/2019
49868761,38180512,4/1/2019
51075616,39054458,5/1/2019
52354486,42339698,6/1/2019
53848341,41986913,7/1/2019
55151367,46649523,8/1/2019
56551779,47081866,9/1/2019
58177614,49425644,10/1/2019
59252846,50543268,11/1/2019
61324659,50969829,12/1/2019
61398996,52271324,1/1/2020
61977979,53203708,2/1/2020
62097354,52538344,3/1/2020
62463609,57271321,4/1/2020
62283013,53643907,5/1/2020
62256191,50970560,6/1/2020
62104841,53290556,7/1/2020
62273261,49829527,8/1/2020
62623737,56632169,9/1/2020
61926853,53580626,10/1/2020
62081663,53072101,11/1/2020
61666184,54927817,12/1/2020
61623544,56424039,1/1/2021
61577289,53554230,2/1/2021
60934066,54729167,3/1/2021
61970360,55828954,4/1/2021
63854599,58977205,5/1/2021
65956960,58698755,6/1/2021
67929078,62202576,7/1/2021
70049342,60005101,8/1/2021
68700731,69398264,9/1/2021
68228312,63735507,10/1/2021
66447664,65619934,11/1/2021
65454992,60367261,12/1/2021
63961660,61190843,1/1/2022
62835624,57526087,2/1/2022
62064227,61002275,3/1/2022
62647604,56187446,4/1/2022
63008354,52169785,5/1/2022
63952145,56556661,6/1/2022
64913231,56123677,7/1/2022
65952135,53963576,8/1/2022
66853059,54737921,9/1/2022
72309858,54113073,10/1/2022
75806722,59583685,11/1/2022
80411452,56573377,12/1/2022
84093415,58867320,1/1/2023
87958253,55492989,2/1/2023
94466558,57246697,3/1/2023
95080508,54069123,4/1/2023
96911985,55575007,5/1/2023
95996247,54822065,6/1/2023
96454116,55198536,7/1/2023
96225181,55010301,8/1/2023
96339648,55104418,9/1/2023
96282415,55057360,10/1/2023
96311031,55080889,11/1/2023
96296723,55069124,12/1/2023
96303877,55075007,1/1/2024
96300300,55072066,2/1/2024
96302089,55073536,3/1/2024
96301194,55072801,4/1/2024
96301642,55073168,5/1/2024
96301418,55072985,6/1/2024
96301530,55073077,7/1/2024
96301474,55073031,8/1/2024
96301502,55073054,9/1/2024
