median,mean,time_1
164169466,146866485,6/1/2020
164846637,146866485,7/1/2020
165245563,146866485,8/1/2020
165046100,146866485,9/1/2020
163166246,146866485,10/1/2020
164551174,146866485,11/1/2020
164386199,146866485,12/1/2020
164792850,146866485,1/1/2021
164873408,146866485,2/1/2021
165035811,146866485,3/1/2021
164954610,146866485,4/1/2021
164995210,146866485,5/1/2021
164974910,146866485,6/1/2021
164985060,146866485,7/1/2021
164979985,146866485,8/1/2021
164982523,146866485,9/1/2021
164981254,146866485,10/1/2021
164981888,146866485,11/1/2021
164981571,146866485,12/1/2021
164981730,146866485,1/1/2022
164981650,146866485,2/1/2022
164981690,146866485,3/1/2022
158943275,146866485,4/1/2022
147680871,146866485,5/1/2022
140739151,146866485,6/1/2022
133017402,146866485,7/1/2022
128129579,146866485,8/1/2022
123926388,146866485,9/1/2022
126027984,146866485,10/1/2022
124977186,146866485,11/1/2022
125502585,146866485,12/1/2022
125239885,146866485,1/1/2023
125371235,146866485,2/1/2023
125305560,146866485,3/1/2023
125338398,146866485,4/1/2023
125321979,146866485,5/1/2023
125330188,146866485,6/1/2023
125326084,146866485,7/1/2023
125328136,146866485,8/1/2023
125327110,146866485,9/1/2023
125327623,146866485,10/1/2023
125327366,146866485,11/1/2023
125327494,146866485,12/1/2023
125327430,146866485,1/1/2024
125327462,146866485,2/1/2024
125327446,146866485,3/1/2024
125327454,146866485,4/1/2024
125327450,146866485,5/1/2024
125327452,146866485,6/1/2024
125327451,146866485,7/1/2024
125327452,146866485,8/1/2024
125327452,146866485,9/1/2024
