median,mean,time_1
63750000,118232233,5/1/2018
63750000,118232233,6/1/2018
64000000,100488155,7/1/2018
63875000,109360194,8/1/2018
59729992,70116386,9/1/2018
58179004,81564657,10/1/2018
56497106,78299811,11/1/2018
55648405,74414131,12/1/2018
54612188,70428457,1/1/2019
56404102,68793683,2/1/2019
61281352,68146511,3/1/2019
63269169,46399557,4/1/2019
66035481,38348374,5/1/2019
62869719,46872359,6/1/2019
62383112,54208625,7/1/2019
61309624,51957682,8/1/2019
60919471,53329124,9/1/2019
60666037,53239062,10/1/2019
60286269,58872728,11/1/2019
62974563,61508528,12/1/2019
60568389,60667954,1/1/2020
60085537,58371305,2/1/2020
60128369,57572302,3/1/2020
59985005,57982554,4/1/2020
60003617,53791720,5/1/2020
59875898,45689464,6/1/2020
60168371,51731823,7/1/2020
60289349,48710644,8/1/2020
60535880,53993643,9/1/2020
61152548,52378222,10/1/2020
62160949,53456727,11/1/2020
62813964,53421777,12/1/2020
63603995,53442260,1/1/2021
63848901,51512819,2/1/2021
63791416,52477539,3/1/2021
69472598,54018291,4/1/2021
71291706,52361355,5/1/2021
72194309,58395662,6/1/2021
75749259,64696783,7/1/2021
77404767,66766109,8/1/2021
80845951,46762140,9/1/2021
85147381,57785770,10/1/2021
83811998,57314907,11/1/2021
84418481,55193817,12/1/2021
84667722,63770397,1/1/2022
85607351,57454929,2/1/2022
79377405,64446904,3/1/2022
77503669,59205373,4/1/2022
73862402,59057801,5/1/2022
72132330,59131587,6/1/2022
70377438,58205986,7/1/2022
69517291,65380013,8/1/2022
68648622,67195333,9/1/2022
77121802,67668973,10/1/2022
80320216,70148567,11/1/2022
83345792,65781245,12/1/2022
85745453,63076044,1/1/2023
89042871,61523858,2/1/2023
90941898,58621323,3/1/2023
89992385,60072591,4/1/2023
90467141,59346957,5/1/2023
90229763,59709774,6/1/2023
90348452,59528365,7/1/2023
90289108,59619070,8/1/2023
90318780,59573718,9/1/2023
90303944,59596394,10/1/2023
90311362,59585056,11/1/2023
90307653,59590725,12/1/2023
90309507,59587890,1/1/2024
90308580,59589307,2/1/2024
90309044,59588599,3/1/2024
90308812,59588953,4/1/2024
90308928,59588776,5/1/2024
90308870,59588864,6/1/2024
90308899,59588820,7/1/2024
90308884,59588842,8/1/2024
90308891,59588831,9/1/2024
