median,mean,time_1
56714385,51867347,2/1/2020
56877239,52894458,3/1/2020
56971990,52185908,4/1/2020
57007747,52540183,5/1/2020
57156366,52363045,6/1/2020
57363153,52451614,7/1/2020
57640651,52407330,8/1/2020
57766697,52429472,9/1/2020
58158145,52418401,10/1/2020
58330643,52423936,11/1/2020
58518624,52421169,12/1/2020
58638784,52422552,1/1/2021
59364970,56966256,2/1/2021
59001877,54694404,3/1/2021
59183423,55830330,4/1/2021
59092650,55262367,5/1/2021
59138037,55546348,6/1/2021
59549118,55404358,7/1/2021
59677492,55475353,8/1/2021
59857310,55439855,9/1/2021
59960040,55457604,10/1/2021
59908675,55448730,11/1/2021
59934358,55453167,12/1/2021
59921516,55450948,1/1/2022
59927937,55452058,2/1/2022
59924727,55451503,3/1/2022
62460559,55451780,4/1/2022
64222325,78018664,5/1/2022
66577408,66735222,6/1/2022
67865227,72376943,7/1/2022
69291500,69556083,8/1/2022
70196197,70966513,9/1/2022
71194359,70261298,10/1/2022
71937366,65951439,11/1/2022
72285739,68106368,12/1/2022
72111552,67028904,1/1/2023
72198646,67567636,2/1/2023
72155099,67298270,3/1/2023
72176872,67432953,4/1/2023
72165986,67365611,5/1/2023
72171429,67399282,6/1/2023
72168707,67382447,7/1/2023
72170068,67390864,8/1/2023
72169388,67386656,9/1/2023
72169728,67388760,10/1/2023
72169558,67387708,11/1/2023
72169643,67388234,12/1/2023
72169600,67387971,1/1/2024
72169622,67388102,2/1/2024
72169611,67388037,3/1/2024
72169616,67388070,4/1/2024
72169614,67388053,5/1/2024
72169615,67388061,6/1/2024
72169614,67388057,7/1/2024
72169615,67388059,8/1/2024
72169614,67388058,9/1/2024
