median,mean,time_1
29230769,18269231,7/1/2019
29321267,18269231,8/1/2019
29276018,18269231,9/1/2019
29346154,18269231,10/1/2019
29354449,18269231,11/1/2019
29860985,18269231,12/1/2019
29607717,18269231,1/1/2020
29734351,18269231,2/1/2020
31415910,21904978,3/1/2020
32333106,17887115,4/1/2020
33199357,19896046,5/1/2020
33793840,24544073,6/1/2020
34331066,26825952,7/1/2020
34708302,25685012,8/1/2020
35013123,26255482,9/1/2020
35240475,25970247,10/1/2020
35417866,26112864,11/1/2020
35552780,28681792,12/1/2020
35485323,27397328,1/1/2021
35519052,28039560,2/1/2021
35502187,27718444,3/1/2021
35510619,27879002,4/1/2021
35506403,27798723,5/1/2021
35508511,27838863,6/1/2021
35507457,27818793,7/1/2021
35507984,27828828,8/1/2021
35507721,27823810,9/1/2021
35507853,27826319,10/1/2021
35507787,27825065,11/1/2021
37005213,25693318,12/1/2021
36092430,29314871,1/1/2022
36342221,30208209,2/1/2022
35987662,29761540,3/1/2022
35952678,27802416,4/1/2022
35838472,27000485,5/1/2022
35937168,26789269,6/1/2022
37011464,30929918,7/1/2022
37519682,28859593,8/1/2022
37843716,32750350,9/1/2022
38328969,28721603,10/1/2022
38483446,32046206,11/1/2022
38604138,53589270,12/1/2022
38695861,62125125,1/1/2023
38766667,73482634,2/1/2023
39137509,67803879,3/1/2023
38952088,70643257,4/1/2023
39044799,69223568,5/1/2023
38998443,69933412,6/1/2023
39021621,69578490,7/1/2023
39010032,69755951,8/1/2023
39015827,69667221,9/1/2023
39012929,69711586,10/1/2023
39014378,69689403,11/1/2023
39013654,69700495,12/1/2023
39014016,69694949,1/1/2024
39013835,69697722,2/1/2024
39013925,69696336,3/1/2024
39013880,69697029,4/1/2024
39013903,69696682,5/1/2024
39013891,69696855,6/1/2024
39013897,69696769,7/1/2024
39013894,69696812,8/1/2024
39013896,69696790,9/1/2024
