ward,time,median,mean
9219,1677628800,152.87,152.42
9219,1680307200,138.61,140.9
9219,1682899200,139.39,138.73
9219,1685577600,133.76,137.76
9219,1688169600,133.76,137.53
9219,1690848000,130.69,137.97
9219,1693526400,138.46,138.03
9219,1696118400,141.03,139.13
9219,1698796800,136.36,137.12
9219,1701388800,137.61,137.21
9219,1704067200,135,137.51
9219,1706745600,137,136.71
9224,1677628800,82.22,88.47
9224,1680307200,94,97.3
9224,1682899200,108.33,101.79
9224,1685577600,100,94.01
9224,1688169600,112.5,105.44
9224,1690848000,117.65,113.55
9224,1693526400,113.16,114.68
9224,1696118400,122.22,113.63
9224,1698796800,100,100.62
9224,1701388800,93.22,90.82
9224,1704067200,93.22,90.01
9224,1706745600,101.06,94.58
9226,1677628800,113.1,114.22
9226,1680307200,124.64,125.64
9226,1682899200,107.14,114.97
9226,1685577600,109.52,113.57
9226,1688169600,120.25,121.61
9226,1690848000,119.82,124.17
9226,1693526400,134.83,125.81
9226,1696118400,134.83,130.69
9226,1698796800,99.62,116.32
9226,1701388800,101.85,105.15
9226,1704067200,107.14,112.43
9226,1706745600,107.14,111.32
9354,1677628800,42.84,43.61
9354,1680307200,42.11,42.24
9354,1682899200,42.11,42.32
9354,1685577600,44.44,43.82
9354,1688169600,53.33,48.56
9354,1690848000,50,50.17
9354,1693526400,48.15,48.16
9354,1696118400,45.37,46.39
9354,1698796800,43.21,43.19
9354,1701388800,43.37,43.7
9354,1704067200,44.44,45.03
9354,1706745600,43.83,44.37
11222,1677628800,86.11,82.16
11222,1680307200,87.5,88.19
11222,1682899200,86.11,89.8
11222,1685577600,86.11,144.87
11222,1688169600,81.94,75.66
11222,1690848000,84.48,79.88
11222,1693526400,86.11,85.41
11222,1696118400,86.11,86.63
11222,1698796800,84.48,89.52
11222,1701388800,82.76,86.84
11222,1704067200,82.76,86.91
11222,1706745600,82.76,88.25
9397,1677628800,71.51,483.16
9397,1680307200,53.77,257.35
9397,1682899200,71.14,367.25
9397,1685577600,52.88,141.58
9397,1688169600,31.29,219.22
9397,1690848000,67.22,429.13
9397,1693526400,63.01,150.47
9397,1696118400,63.01,150.47
9397,1698796800,33.23,396.26
9397,1701388800,93.24,45.33
9397,1704067200,93.24,45.33
9397,1706745600,93.24,45.33
9399,1677628800,67.31,214.07
9399,1680307200,38.68,207.86
9399,1682899200,61.78,109.09
9399,1685577600,35.83,43.07
9399,1688169600,60.87,177.87
9399,1690848000,38.44,208.76
9399,1693526400,43.54,298.89
9399,1696118400,43.54,298.89
9399,1698796800,44.25,393.99
9399,1701388800,44.25,393.99
9399,1704067200,44.25,393.99
9399,1706745600,44.25,393.99
9403,1677628800,45,48.29
9403,1680307200,46.88,48.38
9403,1682899200,45.45,45.94
9403,1685577600,45,43.1
9403,1688169600,47,47.22
9403,1690848000,46.15,47.68
9403,1693526400,46.67,47.78
9403,1696118400,46.25,48.97
9403,1698796800,46.34,48.58
9403,1701388800,45.12,46.41
9403,1704067200,43.75,42.95
9403,1706745600,43.75,42.95
9410,1677628800,41.75,197.28
9410,1680307200,42.59,218.24
9410,1682899200,40.14,111.83
9410,1685577600,41.33,128
9410,1688169600,38.93,250.77
9410,1690848000,40,286.16
9410,1693526400,41.63,44.24
9410,1696118400,39.03,86.05
9410,1698796800,41.68,230.77
9410,1701388800,43.61,59.36
9410,1704067200,46.64,41.48
9410,1706745600,46.64,41.48
9411,1677628800,37.56,89.04
9411,1680307200,70.12,57.77
9411,1682899200,61.57,366
9411,1685577600,70.47,177.79
9411,1688169600,70.47,177.79
9411,1690848000,70.47,177.79
9411,1693526400,70.47,177.79
9432,1677628800,37.35,97.21
9432,1680307200,37.79,62.83
9432,1682899200,37.1,79.31
9432,1685577600,36.6,90.74
9432,1688169600,33.97,127.42
9432,1690848000,38.08,175.22
9432,1693526400,40.12,161.1
9432,1696118400,36.83,232.49
9432,1698796800,38.42,178.57
9432,1701388800,35.98,35.16
9432,1704067200,35.98,35.16
9432,1706745600,35.98,35.16
9439,1677628800,38.24,366.99
9439,1680307200,36.9,38.05
9439,1682899200,36.53,35.45
9439,1685577600,35.97,35.85
9439,1688169600,36.33,35.68
9439,1690848000,35.9,33.78
9439,1693526400,37.92,37.07
9439,1696118400,37,82.74
9439,1698796800,35.77,35.73
9439,1701388800,37.09,37.24
9439,1704067200,37,38.28
9439,1706745600,35.78,35.89
9466,1677628800,33.78,39.96
9466,1680307200,35.63,36.06
9466,1682899200,33.75,36.45
9466,1685577600,37.5,36.12
9466,1688169600,36.84,36.41
9466,1690848000,39.09,38.49
9466,1693526400,39.09,37.52
9466,1696118400,38.81,37.92
9466,1698796800,38.26,37.06
9466,1701388800,36.84,36.65
9466,1704067200,35.26,35.53
9466,1706745600,38.16,37.27
9467,1677628800,55.48,55.95
9467,1680307200,53.83,54.58
9467,1682899200,54,54.57
9467,1685577600,54,54.61
9467,1688169600,53.33,54.1
9467,1690848000,52.86,53.43
9467,1693526400,53.47,54.19
9467,1696118400,53.08,53.72
9467,1698796800,53.68,54.05
9467,1701388800,54.92,55.19
9467,1704067200,54.67,55.47
9467,1706745600,55.42,56.03
9468,1677628800,41.13,40.16
9468,1680307200,41.03,40.63
9468,1682899200,41.91,40.97
9468,1685577600,41.18,38.8
9468,1688169600,40.44,38.45
9468,1690848000,42.22,40.1
9468,1693526400,42.06,41.6
9468,1696118400,42.68,42.11
9468,1698796800,43.09,41.44
9468,1701388800,41.91,41.24
9468,1704067200,43.09,41.38
9468,1706745600,41.48,42.2
9469,1677628800,45.68,41.68
9469,1680307200,46.03,43.05
9469,1682899200,45.5,150.09
9469,1685577600,47.25,42.5
9469,1688169600,46.4,71.66
9469,1690848000,47.2,104.26
9469,1693526400,45.26,44
9469,1696118400,47.47,45.36
9469,1698796800,47.21,44.89
9469,1701388800,45.93,36.62
9469,1704067200,47.48,43.58
9469,1706745600,49.07,43
9470,1677628800,38.82,95.38
9470,1680307200,37.65,38.95
9470,1682899200,37.05,66.89
9470,1685577600,36.3,134.9
9470,1688169600,38.85,119.67
9470,1690848000,40.31,41.1
9470,1693526400,37.26,37.65
9470,1696118400,37.93,38.66
9470,1698796800,39.23,37.88
9470,1701388800,36.67,37.34
9470,1704067200,37.65,37.56
9470,1706745600,37.65,37.56
9472,1677628800,36.79,37.4
9472,1680307200,36.79,37.51
9472,1682899200,37,37.74
9472,1685577600,36.79,37.07
9472,1688169600,36.79,36.87
9472,1690848000,37.12,37.67
9472,1693526400,36.79,37.08
9472,1696118400,36.57,36.66
9472,1698796800,36.36,36.75
9472,1701388800,36.98,37
9472,1704067200,37.22,37.36
9472,1706745600,37.04,37.23
9473,1677628800,51.62,183.89
9473,1680307200,54.74,104.85
9473,1682899200,55.1,202.51
9473,1685577600,51.64,167.91
9473,1688169600,50,219.94
9473,1690848000,53.84,203.13
9473,1693526400,48.55,48.68
9473,1696118400,50,168.48
9473,1698796800,52.56,53.42
9473,1701388800,58.58,59.25
9473,1704067200,62.24,64.97
9473,1706745600,63.05,61.66
9474,1677628800,45.76,49.45
9474,1680307200,46.07,49.67
9474,1682899200,45.9,49.07
9474,1685577600,45.76,48
9474,1688169600,46.58,49.05
9474,1690848000,47.13,50.22
9474,1693526400,47,49.73
9474,1696118400,47.22,50.05
9474,1698796800,48,51.68
9474,1701388800,49.57,52.47
9474,1704067200,50.85,53.7
9474,1706745600,51.27,54.02
9475,1677628800,27.85,35.29
9475,1680307200,28,36.03
9475,1682899200,26.31,35.9
9475,1685577600,27.27,29.31
9475,1688169600,28.25,47.2
9475,1690848000,25.6,29.13
9475,1693526400,30.63,30.2
9475,1696118400,28.11,27.18
9475,1698796800,28.5,29.18
9475,1701388800,27.21,28.3
9475,1704067200,29.55,29.56
9475,1706745600,29.54,28.7
9447,1677628800,31.18,31.13
9447,1680307200,30,31.15
9447,1682899200,31.42,39.43
9447,1685577600,31.28,43.23
9447,1688169600,32.43,31.3
9447,1690848000,32.19,54.47
9447,1693526400,33.53,33.29
9447,1696118400,34.05,33.6
9447,1698796800,33.53,34.14
9447,1701388800,32.91,34.58
9447,1704067200,33.1,33.86
9447,1706745600,35.38,35.53
9450,1677628800,36.14,37.43
9450,1680307200,33.79,85.68
9450,1682899200,50,63.92
9450,1685577600,33.25,37.67
9450,1688169600,31.32,34.73
9450,1690848000,30.43,50.49
9450,1693526400,29.57,31.36
9450,1696118400,31.19,32.41
9450,1698796800,32.58,33.71
9450,1701388800,30.43,32.23
9450,1704067200,30.43,32.23
9450,1706745600,30.43,32.23
9452,1677628800,35.98,102.66
9452,1680307200,36.92,58.04
9452,1682899200,37,107.77
9452,1685577600,37.5,110.02
9452,1688169600,37.5,90.99
9452,1690848000,38.66,100
9452,1693526400,35.63,36.98
9452,1696118400,38.04,63.31
9452,1698796800,39.33,55.34
9452,1701388800,39.29,37.47
9452,1704067200,39.52,37.63
9452,1706745600,37.09,38.37
9454,1677628800,27.74,40.16
9454,1680307200,25.85,43.05
9454,1682899200,28.39,70.41
9454,1685577600,32.88,44.98
9454,1688169600,26.46,51.33
9454,1690848000,26.03,101.32
9454,1693526400,27.7,28.44
9454,1696118400,27.37,78.7
9454,1698796800,27.41,51.41
9454,1701388800,27.12,28.88
9454,1704067200,32.33,30.44
9454,1706745600,32.33,30.44
9455,1677628800,26.6,26.39
9455,1680307200,25.72,52.47
9455,1682899200,26.14,26.32
9455,1685577600,26.14,26.32
9455,1688169600,25.84,50.01
9455,1690848000,26.6,55.82
9455,1693526400,25.46,26.04
9455,1696118400,28.13,27.76
9455,1698796800,28.23,26.77
9455,1701388800,27.8,28.74
9455,1704067200,23.51,27.24
9455,1706745600,23.51,27.24
9367,1677628800,67.95,175.84
9367,1680307200,65.75,56.02
9367,1682899200,63.75,187.82
9367,1685577600,65.15,95.55
9367,1688169600,62.14,131.71
9367,1690848000,47.47,95.55
9367,1693526400,60.42,61.71
9367,1696118400,61.33,108.66
9367,1698796800,70,261.37
9367,1701388800,67.14,70.91
9367,1704067200,64.1,65.55
9367,1706745600,64.1,65.55
9368,1677628800,78.08,122.26
9368,1680307200,78.16,124.07
9368,1682899200,50,210.12
9368,1685577600,39.39,236.8
9368,1688169600,48.21,234.61
9368,1690848000,27.38,159.18
9368,1693526400,49.04,110.05
9368,1696118400,49.04,110.05
9368,1698796800,48.39,175.93
9368,1701388800,78.88,77.28
9368,1704067200,78.88,77.28
9368,1706745600,78.88,77.28
9380,1677628800,47.41,40.48
9380,1680307200,47.54,61.53
9380,1682899200,40.26,138.39
9380,1685577600,40.79,162.53
9380,1688169600,40,135.4
9380,1690848000,54.62,286.11
9380,1693526400,54.42,107.08
9380,1696118400,42.31,212.49
9380,1698796800,55.76,97.52
9380,1701388800,41.08,48.1
9380,1704067200,41.08,48.1
9380,1706745600,41.08,48.1
9227,1677628800,37.76,38.21
9227,1680307200,37.72,37.91
9227,1682899200,37.5,37.63
9227,1685577600,36.84,36.94
9227,1688169600,37.5,37.36
9227,1690848000,37.59,37.79
9227,1693526400,37.01,37.51
9227,1696118400,37.33,37.86
9227,1698796800,37.07,37.65
9227,1701388800,37.72,38.01
9227,1704067200,37.72,37.89
9227,1706745600,37.5,37.9
9231,1677628800,27.69,27.25
9231,1680307200,26.47,26.94
9231,1682899200,27.21,26.83
9231,1685577600,27.56,27.23
9231,1688169600,27.94,27.94
9231,1690848000,26,26.71
