"id","name","area","region","ok"
"9217","Phường Tân Định","13096","13000","1"
"9218","Phường Đa Kao","13096","13000","1"
"9219","Phường Bến Nghé","13096","13000","1"
"9220","Phường Bến Thành","13096","13000","1"
"9221","Phường Nguyễn Thái Bình","13096","13000","1"
"9222","Phường Phạm Ngũ Lão","13096","13000","1"
"9223","Phường Cầu Ông Lãnh","13096","13000","1"
"9224","Phường Cô Giang","13096","13000","1"
"9225","Phường Nguyễn Cư Trinh","13096","13000","1"
"9226","Phường Cầu Kho","13096","13000","1"
"9227","Phường Thạnh Xuân","13107","13000","1"
"9228","Phường Thạnh Lộc","13107","13000","1"
"9229","Phường Hiệp Thành","13107","13000","1"
"9230","Phường Thới An","13107","13000","1"
"9231","Phường Tân Chánh Hiệp","13107","13000","1"
"9232","Phường An Phú Đông","13107","13000","1"
"9233","Phường Tân Thới Hiệp","13107","13000","1"
"9234","Phường Trung Mỹ Tây","13107","13000","1"
"9235","Phường Tân Hưng Thuận","13107","13000","1"
"9236","Phường Đông Hưng Thuận","13107","13000","1"
"9237","Phường Tân Thới Nhất","13107","13000","1"
"9238","Phường Linh Xuân (Quận Thủ Đức cũ)","13119","13000","1"
"9239","Phường Bình Chiểu (Quận Thủ Đức cũ)","13119","13000","1"
"9240","Phường Linh Trung (Quận Thủ Đức cũ)","13119","13000","1"
"9241","Phường Tam Bình (Quận Thủ Đức cũ)","13119","13000","1"
"9242","Phường Tam Phú (Quận Thủ Đức cũ)","13119","13000","1"
"9243","Phường Hiệp Bình Phước (Quận Thủ Đức cũ)","13119","13000","1"
"9244","Phường Hiệp Bình Chánh (Quận Thủ Đức cũ)","13119","13000","1"
"9245","Phường Linh Chiểu (Quận Thủ Đức cũ)","13119","13000","1"
"9246","Phường Linh Tây (Quận Thủ Đức cũ)","13119","13000","1"
"9247","Phường Linh Đông (Quận Thủ Đức cũ)","13119","13000","1"
"9248","Phường Bình Thọ (Quận Thủ Đức cũ)","13119","13000","1"
"9249","Phường Trường Thọ (Quận Thủ Đức cũ)","13119","13000","1"
"9250","Phường Long Bình (Quận 9 cũ)","13119","13000","1"
"9251","Phường Long Thạnh Mỹ (Quận 9 cũ)","13119","13000","1"
"9252","Phường Tân Phú (Quận 9 cũ)","13119","13000","1"
"9253","Phường Hiệp Phú (Quận 9 cũ)","13119","13000","1"
"9254","Phường Tăng Nhơn Phú A (Quận 9 cũ)","13119","13000","1"
"9255","Phường Tăng Nhơn Phú B (Quận 9 cũ)","13119","13000","1"
"9256","Phường Phước Long B (Quận 9 cũ)","13119","13000","1"
"9257","Phường Phước Long A (Quận 9 cũ)","13119","13000","1"
